,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished,target_loc
8,8,8,combined,sub15,-0.0,-1.461670085681018,1.0349881041011744,-1.8031417210826617,1.1709739252823081,1-7-8,-1.8-1.17,0.0428177725526121,0.0812070089842438,-0.0296544014900539,0.032279682225056394,-1.4498938911508994,0.629230261254498,136,True,-1.846
10,10,10,combined,sub13,-0.0,1.6840317251971677,1.3569162490932232,1.8031417210826617,1.1709739252823081,0-5-8,1.8-1.17,0.0082199919747398,0.0988407194553569,-0.0763089806792681,0.03544404282305269,1.939760834556114,0.7319423763980202,146,True,1.795
13,13,13,combined,sub02,-0.0,1.325037199612527,1.5591820966911383,1.803141721082662,1.1709739252823081,0-6-8,1.8-1.17,0.0300727753911301,0.0331998193552793,0.0749806941924419,0.0587317618258677,0.7851406105363533,0.8645462394865272,156,True,1.773
15,15,15,combined,sub08,-0.0,-1.8707053046344484,1.5237956323062924,-1.8031417210826617,1.1709739252823081,1-6-8,-1.8-1.17,-0.0099993008488252,0.0592494568281427,0.0253535805356742,0.10617861198031164,-1.8379532027720944,0.6316843182391227,156,True,-1.793
18,18,18,combined,sub10,-0.0,-1.88679137324562,0.2840813023202012,-2.1104984444124772,0.4102393400595713,3-6-8,-2.11-0.41,0.0951635477181155,-0.0947721067290023,0.0830445940222501,0.03957986476297237,-1.870276111806572,-0.7094713410820401,141,True,-2.206
19,19,19,combined,sub03,-0.0,-1.7805674095147086,0.013410446469399373,-2.1104984444124777,0.4102393400595714,3-5-8,-2.11-0.41,0.0067643577222095,0.0001948344932816,-0.1155829488395775,-0.019477077123049358,-1.7489029243911631,-0.599993204807513,121,True,-2.117
21,21,21,combined,sub03,-0.0,2.2488331521956915,0.4019521877479634,2.1104984444124772,0.4102393400595713,2-5-8,2.11-0.41,-0.0063417944616716,0.0096672597263055,-0.0178015290107114,0.10308807623284488,2.2909364197449413,0.0117823993711453,208,True,2.117
24,24,24,combined,sub10,-0.0,-2.495794900999396,0.5430678895895888,-1.8031417210826617,1.1709739252823081,1-7-8,-1.8-1.17,-0.0077674458289194,-0.1576638647020331,0.0005076121277281,0.05909466885529491,-1.953255370629308,0.2281700159316295,132,True,-1.795
26,26,26,combined,sub07,-0.0,1.8441316468855609,-0.5844603516267382,2.1104984444124772,0.4102393400595712,2-4-8,2.11-0.41,-0.0026236678912569,-0.1402471526345587,0.0250904171291014,0.08427323976130208,2.3386031961174147,-0.8611392990462124,131,True,2.113
28,28,28,combined,sub09,-0.0,-2.1746074219290588,0.396825838508718,-2.1104984444124772,0.41023934005957124,3-7-8,-2.11-0.41,0.0382216365375068,-0.0144054585341191,-0.0559570553408232,-0.057234696833360243,-2.670518796012889,-0.7226864252659135,127,True,-2.149
32,32,32,combined,sub04,-0.0,-1.9057118445108807,1.1110693160940919,-1.8031417210826615,1.1709739252823081,1-7-8,-1.8-1.17,-0.0097799153719557,-0.028325648196817,-0.0630833612464689,-0.05265116251256208,-2.32657284162012,0.4485496513223,144,True,-1.793
