,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished
944,1117,1117,combined,sub05,0.0,-1.2639766481636128,2.8913844101240485,-1.8,3.12,1-22-24,1,0.0,0.0,0.0887007295600919,0.0789356702059602,-1.678584222110722,2.7434721591749747,773,True
429,515,515,combined,sub11,0.0,2.9680196061421924,2.0421058888466592,3.12,1.8,3-7-24,3,0.0,0.0,-0.0173786315350781,0.0444323249261492,1.7760627246008664,1.9081172498057308,214,True
424,508,508,combined,sub11,0.0,-2.4139377957984185,2.233929670426192,-3.12,1.8,0-21-24,0,0.0,0.0,0.0524341025427841,0.0416291582337967,-3.0376610176512613,2.0077946338867663,323,True
423,507,507,combined,sub11,0.0,2.935500324855844,3.8236716462772,3.12,1.8,3-9-24,3,0.0,0.0,-0.0474859406188791,0.0759355416705582,2.764405491389029,1.9037535447079743,226,True
422,506,506,combined,sub05,0.0,3.298540220981512,1.73890448627029,3.12,1.8,3-7-24,3,0.0,0.0,-0.0868617321990208,0.0272470321704288,2.764110225266008,1.893988013552956,254,True
417,499,499,combined,sub08,0.0,-1.6386931049633484,2.866467060734537,-1.8,3.12,1-19-24,1,0.0,0.0,0.0356359795595967,0.0147677721772489,-2.363510556512291,3.050379860984202,418,True
412,494,494,combined,sub01,0.0,-2.880618650231432,0.7241594569565651,-3.12,1.8,0-21-24,0,0.0,0.0,0.0895678820961322,0.0417958376116788,-3.539297323449306,1.5125212137211792,234,True
408,489,489,combined,sub01,0.0,1.2581900618728044,3.293507712176997,1.8,3.12,2-10-24,2,0.0,0.0,-0.0113788972988854,0.0665163452287884,2.0287086341536886,3.1703297722514803,340,True
406,487,487,combined,sub03,0.0,1.511412355443179,2.4939790898407006,1.8,3.12,2-11-24,2,0.0,0.0,-0.0777722089071725,0.0960304223943346,2.1906131530812014,2.195181883084484,551,True
957,1133,1133,combined,sub08,0.0,1.3817776812221647,2.606794046567,1.8,3.12,2-4-24,2,0.0,0.0,-0.044341322780397,0.0691593856803107,2.673342827816744,2.310744911221724,331,True
452,539,539,combined,sub01,0.0,1.639947375417942,3.36647404134144,1.8,3.12,2-10-24,2,0.0,0.0,-0.0995231110237448,0.0689281845859068,1.332974318842758,3.50963537534973,342,True
509,604,604,combined,sub05,0.0,-2.5737737388226547,1.7034434360920243,-3.12,1.8,0-14-24,0,0.0,0.0,-0.0108657929255252,0.0661314218420933,-3.645339578209109,2.028835681058625,436,True
912,1079,1079,combined,sub01,0.0,-3.0631527679420865,2.360989504823711,-3.12,1.8,0-21-24,0,0.0,0.0,0.1011416208447327,0.0261297673420781,-2.6132169447193587,2.387080002825087,267,True
489,582,582,combined,sub03,0.0,3.7708363380865553,0.8880869506804299,3.12,1.8,3-9-24,3,0.0,0.0,-0.0083088425400947,0.0641787127200715,2.261683891766512,2.2698496105797683,195,True
488,581,581,combined,sub01,0.0,3.567218231067837,0.8248437029396136,3.12,1.8,3-5-24,3,0.0,0.0,-0.0386868171660511,0.0476407144485288,4.106335702892516,1.2948677683574994,387,True
474,567,567,combined,sub03,0.0,-2.2134083857285605,0.6359701917777728,-1.8,3.12,1-20-24,1,0.0,0.0,0.0067011839631912,0.1141998842765811,-1.2379444727717233,3.349819158328551,607,True
473,566,566,combined,sub05,0.0,1.2757703852544255,0.1612658426628357,3.12,1.8,3-12-24,3,0.0,0.0,0.0122149500792141,0.0411490377352296,3.113509328155209,1.5537506808142278,376,True
926,1097,1097,combined,sub05,0.0,-2.8587531068070064,3.6540181367586255,-1.8,3.12,1-19-24,1,0.0,0.0,0.0835511177850265,0.0720832551051616,-1.8501942761589665,3.250658981620644,441,True
461,550,550,combined,sub03,0.0,0.2925343810141893,4.803114393633363,1.8,3.12,2-4-24,2,0.0,0.0,-0.0877666142447576,0.0714089449038263,3.355177319663931,2.650916282702882,227,True
460,549,549,combined,sub01,0.0,3.475346739574736,0.9135900221857856,3.12,1.8,3-13-24,3,0.0,0.0,-0.0435191548536637,0.0956886692567256,2.8428380734948577,1.977702013774909,210,True
