,Unnamed: 0,unique_trajectory_id,condition,VPCode,landmark_rotation,respx,respz,targetx,targetz,trajectory_id,target,jitterx,jitterz,startx,startz,belief_respx,belief_respz,endidx,task_finished
0,0,0,combined,sub06,0.0,2.006178956142668,3.1745158575808805,1.8,3.12,2-8-24,2,0.0,0.0,0.0185922185236689,0.1028169571942041,1.5852010225041255,3.4095085326660204,177,True
331,332,332,combined,sub06,0.0,-1.2782413867632978,3.2223195141592416,-1.8,3.12,1-19-24,1,0.0,0.0,0.0623480575290244,-0.0393116667850022,-0.7496371002202945,3.336219841730311,185,True
330,331,331,combined,sub04,0.0,2.695702472329692,2.091541991646789,3.12,1.8,3-9-24,3,0.0,0.0,-0.0390424107773522,0.1143416227388881,3.040520452021703,2.067414518480369,186,True
328,329,329,combined,sub02,0.0,-1.93757006118244,2.59553530724148,-1.8,3.12,1-22-24,1,0.0,0.0,-0.0525735069850203,0.1087878143969113,-2.161742567691438,2.8713592458078425,182,True
327,328,328,combined,sub03,0.0,1.7445213964181,2.8947892118050063,1.8,3.12,2-6-24,2,0.0,0.0,-0.0492583935282569,-0.0612447109919681,1.7123647866655305,3.080036771965766,191,True
323,324,324,combined,sub03,0.0,3.1487894558742786,1.7729466093683282,3.12,1.8,3-12-24,3,0.0,0.0,0.0526560151022404,0.0853191734103044,2.535531742681259,1.924243595442696,207,True
321,322,322,combined,sub04,0.0,-2.1575442205012547,2.788273855353453,-1.8,3.12,1-22-24,1,0.0,0.0,0.115458426916401,0.0107975244723727,-2.399448428087321,2.8271316159154845,172,True
320,321,321,combined,sub07,0.0,-2.655312200746161,1.8094057426502503,-3.12,1.8,0-16-24,0,0.0,0.0,0.0117970036055901,0.0960868289650393,-2.9656147709561056,1.921647085401156,171,True
333,334,334,combined,sub08,0.0,-2.757282219498359,2.1586894433805237,-3.12,1.8,0-21-24,0,0.0,0.0,0.0596568501554262,0.0496210207571527,-3.0461251595889784,1.889873094125523,187,True
319,320,320,combined,sub03,0.0,-2.9028856855047875,1.2133568804601111,-3.12,1.8,0-16-24,0,0.0,0.0,-0.0856252737129597,0.0750295427442294,-2.879833906315491,2.488377767884975,201,True
310,311,311,combined,sub04,0.0,-3.1000343634324987,1.7985643463740493,-3.12,1.8,0-17-24,0,0.0,0.0,0.0944977342450099,0.0012809721250877,-2.935467244583659,2.012118238250716,196,True
307,308,308,combined,sub07,0.0,-2.18255391111482,2.9878751658428184,-1.8,3.12,1-19-24,1,0.0,0.0,0.0769950865607476,-0.0257446043963063,-2.190993722409671,3.026296419076191,176,True
306,307,307,combined,sub04,0.0,-3.4405315485458345,1.1603310271269545,-3.12,1.8,0-21-24,0,0.0,0.0,0.0405835974465721,-0.0102577771509968,-2.8719923906344373,1.7492363702031373,217,True
